#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    18:24:33       0      4      2      0 
 20250823    18:24:33       1    425      4      0 
 20250823    18:24:33       2    425      4      0 
 20250823    18:24:33       3    425      4      0 
 20250823    18:24:38       0      4      2      0 
 20250823    18:24:38       1    425      4      0 
 20250823    18:24:38       2    425      4      0 
 20250823    18:24:38       3    425      4      0 
 20250823    18:24:43       0      4      2      0 
 20250823    18:24:43       1    425      4      0 
 20250823    18:24:43       2    425      4      0 
 20250823    18:24:43       3    425      4      0 
 20250823    18:24:48       0      4      2      0 
 20250823    18:24:48       1    425      4      0 
 20250823    18:24:48       2    425      4      0 
 20250823    18:24:48       3    425      4      0 
 20250823    18:24:53       0      4      2      0 
 20250823    18:24:53       1    425      4      0 
 20250823    18:24:53       2    425      4      0 
 20250823    18:24:53       3    425      4      0 
 20250823    18:24:58       0      4      2      0 
 20250823    18:24:58       1    425      4      0 
 20250823    18:24:58       2    425      4      0 
 20250823    18:24:58       3    425      4      0 
 20250823    18:25:03       0      4      2      0 
 20250823    18:25:03       1    425      4      0 
 20250823    18:25:03       2    425      4      0 
 20250823    18:25:03       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    18:25:08       0      4      2      0 
 20250823    18:25:08       1    425      4      0 
 20250823    18:25:08       2    425      4      0 
 20250823    18:25:08       3    425      4      0 
 20250823    18:25:13       0      4      2      0 
 20250823    18:25:13       1    425      4      0 
 20250823    18:25:13       2    425      4      0 
 20250823    18:25:13       3    425      4      0 
 20250823    18:25:18       0      4      2      0 
 20250823    18:25:18       1    425      4      0 
 20250823    18:25:18       2    425      4      0 
 20250823    18:25:18       3    425      4      0 
 20250823    18:25:23       0      4      2      0 
 20250823    18:25:23       1    425      4      0 
 20250823    18:25:23       2    425      4      0 
 20250823    18:25:23       3    425      4      0 
 20250823    18:25:28       0      4      2      0 
 20250823    18:25:28       1    425      4      0 
 20250823    18:25:28       2    425      4      0 
 20250823    18:25:28       3    425      4      0 
 20250823    18:25:33       0      4      2      0 
 20250823    18:25:33       1    425      4      0 
 20250823    18:25:33       2    425      4      0 
 20250823    18:25:33       3    425      4      0 
 20250823    18:25:38       0      4      2      0 
 20250823    18:25:38       1    425      4      0 
 20250823    18:25:38       2    425      4      0 
 20250823    18:25:38       3    425      4      0 
 20250823    18:25:43       0      4      2      0 
 20250823    18:25:43       1    425      4      0 
 20250823    18:25:43       2    425      4      0 
 20250823    18:25:43       3    425      4      0 
 20250823    18:25:48       0      4      2      0 
 20250823    18:25:48       1    425      4      0 
 20250823    18:25:48       2    425      4      0 
 20250823    18:25:48       3    425      4      0 
 20250823    18:25:53       0      4      2      0 
 20250823    18:25:53       1    425      4      0 
 20250823    18:25:53       2    425      4      0 
 20250823    18:25:53       3    425      4      0 
 20250823    18:25:58       0      4      2      0 
 20250823    18:25:58       1    425      4      0 
 20250823    18:25:58       2    425      4      0 
 20250823    18:25:58       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    18:26:03       0      4      2      0 
 20250823    18:26:03       1    425      4      0 
 20250823    18:26:03       2    425      4      0 
 20250823    18:26:03       3    425      4      0 
 20250823    18:26:08       0      4      2      0 
 20250823    18:26:08       1    425      4      0 
 20250823    18:26:08       2    425      4      0 
 20250823    18:26:08       3    425      4      0 
 20250823    18:26:13       0      4      2      0 
 20250823    18:26:13       1    425      4      0 
 20250823    18:26:13       2    425      4      0 
 20250823    18:26:13       3    425      4      0 
 20250823    18:26:18       0      4      2      0 
 20250823    18:26:18       1    425      4      0 
 20250823    18:26:18       2    425      4      0 
 20250823    18:26:18       3    425      4      0 
 20250823    18:26:23       0      4      2      0 
 20250823    18:26:23       1    425      4      0 
 20250823    18:26:23       2    425      4      0 
 20250823    18:26:23       3    425      4      0 
 20250823    18:26:28       0      4      2      0 
 20250823    18:26:28       1    425      4      0 
 20250823    18:26:28       2    425      4      0 
 20250823    18:26:28       3    425      4      0 
 20250823    18:26:33       0      4      2      0 
 20250823    18:26:33       1    425      4      0 
 20250823    18:26:33       2    425      4      0 
 20250823    18:26:33       3    425      4      0 
 20250823    18:26:38       0      4      2      0 
 20250823    18:26:38       1    425      4      0 
 20250823    18:26:38       2    425      4      0 
 20250823    18:26:38       3    425      4      0 
 20250823    18:26:43       0      4      2      0 
 20250823    18:26:43       1    425      4      0 
 20250823    18:26:43       2    425      4      0 
 20250823    18:26:43       3    425      4      0 
 20250823    18:26:48       0      4      2      0 
 20250823    18:26:48       1    425      4      0 
 20250823    18:26:48       2    425      4      0 
 20250823    18:26:48       3    425      4      0 
 20250823    18:26:53       0      4      2      0 
 20250823    18:26:53       1    425      4      0 
 20250823    18:26:53       2    425      4      0 
 20250823    18:26:53       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    18:26:58       0      4      2      0 
 20250823    18:26:58       1    425      4      0 
 20250823    18:26:58       2    425      4      0 
 20250823    18:26:58       3    425      4      0 
 20250823    18:27:03       0      4      2      0 
 20250823    18:27:03       1    425      4      0 
 20250823    18:27:03       2    425      4      0 
 20250823    18:27:03       3    425      4      0 
 20250823    18:27:08       0      4      2      0 
 20250823    18:27:08       1    425      4      0 
 20250823    18:27:08       2    425      4      0 
 20250823    18:27:08       3    425      4      0 
 20250823    18:27:13       0      4      2      0 
 20250823    18:27:13       1    425      4      0 
 20250823    18:27:13       2    425      4      0 
 20250823    18:27:13       3    425      4      0 
 20250823    18:27:18       0      4      2      0 
 20250823    18:27:18       1    425      4      0 
 20250823    18:27:18       2    425      4      0 
 20250823    18:27:18       3    425      4      0 
 20250823    18:27:23       0      4      2      0 
 20250823    18:27:23       1    425      4      0 
 20250823    18:27:23       2    425      4      0 
 20250823    18:27:23       3    425      4      0 
 20250823    18:27:28       0      4      2      0 
 20250823    18:27:28       1    425      4      0 
 20250823    18:27:28       2    425      4      0 
 20250823    18:27:28       3    425      4      0 
 20250823    18:27:33       0      4      2      0 
 20250823    18:27:33       1    425      4      0 
 20250823    18:27:33       2    425      4      0 
 20250823    18:27:33       3    425      4      0 
 20250823    18:27:38       0      4      2      0 
 20250823    18:27:38       1    425      4      0 
 20250823    18:27:38       2    425      4      0 
 20250823    18:27:38       3    425      4      0 
 20250823    18:27:43       0      4      2      0 
 20250823    18:27:43       1    425      4      0 
 20250823    18:27:43       2    425      4      0 
 20250823    18:27:43       3    425      4      0 
 20250823    18:27:48       0      4      2      0 
 20250823    18:27:48       1    425      4      0 
 20250823    18:27:48       2    425      4      0 
 20250823    18:27:48       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    18:27:53       0      4      2      0 
 20250823    18:27:53       1    425      4      0 
 20250823    18:27:53       2    425      4      0 
 20250823    18:27:53       3    425      4      0 
 20250823    18:27:58       0      4      2      0 
 20250823    18:27:58       1    425      4      0 
 20250823    18:27:58       2    425      4      0 
 20250823    18:27:58       3    425      4      0 
 20250823    18:28:03       0      4      2      0 
 20250823    18:28:03       1    425      4      0 
 20250823    18:28:03       2    425      4      0 
 20250823    18:28:03       3    425      4      0 
 20250823    18:28:08       0      4      2      0 
 20250823    18:28:08       1    425      4      0 
 20250823    18:28:08       2    425      4      0 
 20250823    18:28:08       3    425      4      0 
 20250823    18:28:13       0      4      2      0 
 20250823    18:28:13       1    425      4      0 
 20250823    18:28:13       2    425      4      0 
 20250823    18:28:13       3    425      4      0 
 20250823    18:28:18       0      4      2      0 
 20250823    18:28:18       1    425      4      0 
 20250823    18:28:18       2    425      4      0 
 20250823    18:28:18       3    425      4      0 
 20250823    18:28:23       0      4      2      0 
 20250823    18:28:23       1    425      4      0 
 20250823    18:28:23       2    425      4      0 
 20250823    18:28:23       3    425      4      0 
 20250823    18:28:28       0      4      2      0 
 20250823    18:28:28       1    425      4      0 
 20250823    18:28:28       2    425      4      0 
 20250823    18:28:28       3    425      4      0 
 20250823    18:28:33       0      4      2      0 
 20250823    18:28:33       1    425      4      0 
 20250823    18:28:33       2    425      4      0 
 20250823    18:28:33       3    425      4      0 
 20250823    18:28:38       0      4      2      0 
 20250823    18:28:38       1    425      4      0 
 20250823    18:28:38       2    425      4      0 
 20250823    18:28:38       3    425      4      0 
 20250823    18:28:43       0      4      2      0 
 20250823    18:28:43       1    425      4      0 
 20250823    18:28:43       2    425      4      0 
 20250823    18:28:43       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    18:28:48       0      4      2      0 
 20250823    18:28:48       1    425      4      0 
 20250823    18:28:48       2    425      4      0 
 20250823    18:28:48       3    425      4      0 
 20250823    18:28:53       0      4      2      0 
 20250823    18:28:53       1    425      4      0 
 20250823    18:28:53       2    425      4      0 
 20250823    18:28:53       3    425      4      0 
 20250823    18:28:58       0      4      2      0 
 20250823    18:28:58       1    425      4      0 
 20250823    18:28:58       2    425      4      0 
 20250823    18:28:58       3    425      4      0 
 20250823    18:29:03       0      4      2      0 
 20250823    18:29:03       1    425      4      0 
 20250823    18:29:03       2    425      4      0 
 20250823    18:29:03       3    425      4      0 
 20250823    18:29:08       0    553      4      0 
 20250823    18:29:08       1    425      4      0 
 20250823    18:29:08       2    425      4      0 
 20250823    18:29:08       3    425      4      0 
 20250823    18:29:13       0    553      4      0 
 20250823    18:29:13       1    425      4      0 
 20250823    18:29:13       2    425      4      0 
 20250823    18:29:13       3    425      4      0 
 20250823    18:29:18       0    553      4      0 
 20250823    18:29:18       1    425      4      0 
 20250823    18:29:18       2    425      4      0 
 20250823    18:29:18       3    425      4      0 
 20250823    18:29:23       0    553      4      0 
 20250823    18:29:23       1    425      4      0 
 20250823    18:29:23       2    425      4      0 
 20250823    18:29:23       3    553      4      0 
 20250823    18:29:28       0    553      4      0 
 20250823    18:29:28       1    425      4      0 
 20250823    18:29:28       2    425      4      0 
 20250823    18:29:28       3    553      4      0 
 20250823    18:29:33       0    553      4      0 
 20250823    18:29:33       1    425      4      0 
 20250823    18:29:33       2    425      4      0 
 20250823    18:29:33       3    553      4      0 
 20250823    18:29:38       0    553      4      0 
 20250823    18:29:38       1    425      4      0 
 20250823    18:29:38       2    425      4      0 
 20250823    18:29:38       3    553      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    18:29:43       0    553      4      0 
 20250823    18:29:43       1    425      4      0 
 20250823    18:29:43       2    425      4      0 
 20250823    18:29:43       3    553      4      0 
 20250823    18:29:48       0    553      4      0 
 20250823    18:29:48       1    553      4      0 
 20250823    18:29:48       2    425      4      0 
 20250823    18:29:48       3    553      4      0 
 20250823    18:29:53       0    553      4      0 
 20250823    18:29:53       1    553      4      0 
 20250823    18:29:53       2    425      4      0 
 20250823    18:29:53       3    553      4      0 
 20250823    18:29:58       0    553      4      0 
 20250823    18:29:58       1    553      4      0 
 20250823    18:29:58       2    425      4      0 
 20250823    18:29:58       3    553      4      0 
 20250823    18:30:03       0    553      4      0 
 20250823    18:30:03       1    553      4      0 
 20250823    18:30:03       2    425      4      0 
 20250823    18:30:03       3    553      4      0 
 20250823    18:30:08       0   1033      4      0 
 20250823    18:30:08       1   1033      4      0 
 20250823    18:30:08       2   1033      4      0 
 20250823    18:30:08       3   1033      4      0 
 20250823    18:30:13       0   1637      4      0 
 20250823    18:30:13       1   1709      4      0 
 20250823    18:30:13       2   1709      4      0 
 20250823    18:30:13       3   1637      4      0 
 20250823    18:30:18       0   1637      4      0 
 20250823    18:30:18       1   1709      4      0 
 20250823    18:30:18       2   1709      4      0 
 20250823    18:30:18       3   1637      4      0 
 20250823    18:30:23       0   1637      4      0 
 20250823    18:30:23       1   1709      4      0 
 20250823    18:30:23       2   1709      4      0 
 20250823    18:30:23       3   1637      4      0 
 20250823    18:30:28       0   1637      4      0 
 20250823    18:30:28       1   1709      4      0 
 20250823    18:30:28       2   1709      4      0 
