#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    16:21:08       0      0      1      0 
 20250823    16:21:08       1      0      1      0 
 20250823    16:21:08       2      0      1      0 
 20250823    16:21:08       3      0      1      0 
 20250823    16:21:13       0      4      2      0 
 20250823    16:21:13       1      4      2      0 
 20250823    16:21:13       2      4      2      0 
 20250823    16:21:13       3      1      1      0 
 20250823    16:21:18       0      4      2      0 
 20250823    16:21:18       1      4      2      0 
 20250823    16:21:18       2      4      2      0 
 20250823    16:21:18       3      4      2      0 
 20250823    16:21:23       0      4      2      0 
 20250823    16:21:23       1    425      4      0 
 20250823    16:21:23       2    425      4      0 
 20250823    16:21:23       3    425      4      0 
 20250823    16:21:28       0      4      2      0 
 20250823    16:21:28       1    425      4      0 
 20250823    16:21:28       2    425      4      0 
 20250823    16:21:28       3    425      4      0 
 20250823    16:21:33       0      4      2      0 
 20250823    16:21:33       1    425      4      0 
 20250823    16:21:33       2    425      4      0 
 20250823    16:21:33       3    425      4      0 
 20250823    16:21:38       0      4      2      0 
 20250823    16:21:38       1    425      4      0 
 20250823    16:21:38       2    425      4      0 
 20250823    16:21:38       3    425      4      0 
 20250823    16:21:43       0      4      2      0 
 20250823    16:21:43       1    425      4      0 
 20250823    16:21:43       2    425      4      0 
 20250823    16:21:43       3    425      4      0 
 20250823    16:21:48       0      4      2      0 
 20250823    16:21:48       1    425      4      0 
 20250823    16:21:48       2    425      4      0 
 20250823    16:21:48       3    425      4      0 
 20250823    16:21:53       0      4      2      0 
 20250823    16:21:53       1    425      4      0 
 20250823    16:21:53       2    425      4      0 
 20250823    16:21:53       3    425      4      0 
 20250823    16:21:58       0      4      2      0 
 20250823    16:21:58       1    425      4      0 
 20250823    16:21:58       2    425      4      0 
 20250823    16:21:58       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    16:22:03       0      4      2      0 
 20250823    16:22:03       1    425      4      0 
 20250823    16:22:03       2    425      4      0 
 20250823    16:22:03       3    425      4      0 
 20250823    16:22:08       0      4      2      0 
 20250823    16:22:08       1    425      4      0 
 20250823    16:22:08       2    425      4      0 
 20250823    16:22:08       3    425      4      0 
 20250823    16:22:13       0      4      2      0 
 20250823    16:22:13       1    425      4      0 
 20250823    16:22:13       2    425      4      0 
 20250823    16:22:13       3    425      4      0 
 20250823    16:22:18       0      4      2      0 
 20250823    16:22:18       1    425      4      0 
 20250823    16:22:18       2    425      4      0 
 20250823    16:22:18       3    425      4      0 
 20250823    16:22:23       0      4      2      0 
 20250823    16:22:23       1    425      4      0 
 20250823    16:22:23       2    425      4      0 
 20250823    16:22:23       3    425      4      0 
 20250823    16:22:28       0      4      2      0 
 20250823    16:22:28       1    425      4      0 
 20250823    16:22:28       2    425      4      0 
 20250823    16:22:28       3    425      4      0 
 20250823    16:22:33       0      4      2      0 
 20250823    16:22:33       1    425      4      0 
 20250823    16:22:33       2    425      4      0 
 20250823    16:22:33       3    425      4      0 
 20250823    16:22:38       0      4      2      0 
 20250823    16:22:38       1    425      4      0 
 20250823    16:22:38       2    425      4      0 
 20250823    16:22:38       3    425      4      0 
 20250823    16:22:43       0      4      2      0 
 20250823    16:22:43       1    425      4      0 
 20250823    16:22:43       2    425      4      0 
 20250823    16:22:43       3    425      4      0 
 20250823    16:22:48       0      4      2      0 
 20250823    16:22:48       1    425      4      0 
 20250823    16:22:48       2    425      4      0 
 20250823    16:22:48       3    425      4      0 
 20250823    16:22:53       0      4      2      0 
 20250823    16:22:53       1    425      4      0 
 20250823    16:22:53       2    425      4      0 
 20250823    16:22:53       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    16:22:58       0      4      2      0 
 20250823    16:22:58       1    425      4      0 
 20250823    16:22:58       2    425      4      0 
 20250823    16:22:58       3    425      4      0 
 20250823    16:23:03       0      4      2      0 
 20250823    16:23:03       1    425      4      0 
 20250823    16:23:03       2    425      4      0 
 20250823    16:23:03       3    425      4      0 
 20250823    16:23:08       0      4      2      0 
 20250823    16:23:08       1    425      4      0 
 20250823    16:23:08       2    425      4      0 
 20250823    16:23:08       3    425      4      0 
 20250823    16:23:13       0      4      2      0 
 20250823    16:23:13       1    425      4      0 
 20250823    16:23:13       2    425      4      0 
 20250823    16:23:13       3    425      4      0 
 20250823    16:23:18       0      4      2      0 
 20250823    16:23:18       1    425      4      0 
 20250823    16:23:18       2    425      4      0 
 20250823    16:23:18       3    425      4      0 
