#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250825    20:55:12       0      0      1      0 
 20250825    20:55:12       1      0      1      0 
 20250825    20:55:12       2      0      1      0 
 20250825    20:55:12       3      0      1      0 
 20250825    20:55:17       0      0      1      0 
 20250825    20:55:17       1      0      1      0 
 20250825    20:55:17       2      0      1      0 
 20250825    20:55:17       3      0      1      0 
 20250825    20:55:22       0      4      2      0 
 20250825    20:55:22       1      4      2      0 
 20250825    20:55:22       2      4      2      0 
 20250825    20:55:22       3      4      2      0 
 20250825    20:55:27       0      4      2      0 
 20250825    20:55:27       1      4      2      0 
 20250825    20:55:27       2      4      2      0 
 20250825    20:55:27       3      4      2      0 
 20250825    20:55:32       0      4      2      0 
 20250825    20:55:32       1      4      2      0 
 20250825    20:55:32       2      4      2      0 
 20250825    20:55:32       3      4      2      0 
 20250825    20:55:37       0      4      2      0 
 20250825    20:55:37       1      4      2      0 
 20250825    20:55:37       2      4      2      0 
 20250825    20:55:37       3      4      2      0 
 20250825    20:55:42       0      4      2      0 
 20250825    20:55:42       1      4      2      0 
 20250825    20:55:42       2      4      2      0 
 20250825    20:55:42       3      4      2      0 
 20250825    20:55:47       0      4      2      0 
 20250825    20:55:47       1      4      2      0 
 20250825    20:55:47       2      4      2      0 
 20250825    20:55:47       3      4      2      0 
 20250825    20:55:52       0      4      2      0 
 20250825    20:55:52       1    425      4      0 
 20250825    20:55:52       2    425      4      0 
 20250825    20:55:52       3    425      4      0 
 20250825    20:55:57       0      4      2      0 
 20250825    20:55:57       1    425      4      0 
 20250825    20:55:57       2    425      4      0 
 20250825    20:55:57       3    425      4      0 
 20250825    20:56:02       0      4      2      0 
 20250825    20:56:02       1    425      4      0 
 20250825    20:56:02       2    425      4      0 
 20250825    20:56:02       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250825    20:56:07       0      4      2      0 
 20250825    20:56:07       1    425      4      0 
 20250825    20:56:07       2    425      4      0 
 20250825    20:56:07       3    425      4      0 
 20250825    20:56:12       0      4      2      0 
 20250825    20:56:12       1    425      4      0 
 20250825    20:56:12       2    425      4      0 
 20250825    20:56:12       3    425      4      0 
 20250825    20:56:17       0      4      2      0 
 20250825    20:56:17       1    425      4      0 
 20250825    20:56:17       2    425      4      0 
 20250825    20:56:17       3    425      4      0 
 20250825    20:56:22       0      4      2      0 
 20250825    20:56:22       1    425      4      0 
 20250825    20:56:22       2    425      4      0 
 20250825    20:56:22       3    425      4      0 
 20250825    20:56:27       0      4      2      0 
 20250825    20:56:27       1    425      4      0 
 20250825    20:56:27       2    425      4      0 
 20250825    20:56:27       3    425      4      0 
 20250825    20:56:32       0      4      2      0 
 20250825    20:56:32       1    425      4      0 
 20250825    20:56:32       2    425      4      0 
 20250825    20:56:32       3    425      4      0 
 20250825    20:56:37       0      4      2      0 
 20250825    20:56:37       1    425      4      0 
 20250825    20:56:37       2    425      4      0 
 20250825    20:56:37       3    425      4      0 
 20250825    20:56:42       0      4      2      0 
 20250825    20:56:42       1    425      4      0 
 20250825    20:56:42       2    425      4      0 
 20250825    20:56:42       3    425      4      0 
 20250825    20:56:47       0      4      2      0 
 20250825    20:56:47       1    425      4      0 
 20250825    20:56:47       2    425      4      0 
 20250825    20:56:47       3    425      4      0 
 20250825    20:56:52       0      4      2      0 
 20250825    20:56:52       1    425      4      0 
 20250825    20:56:52       2    425      4      0 
 20250825    20:56:52       3    425      4      0 
 20250825    20:56:57       0      4      2      0 
 20250825    20:56:57       1    425      4      0 
 20250825    20:56:57       2    425      4      0 
 20250825    20:56:57       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250825    20:57:02       0      4      2      0 
 20250825    20:57:02       1    425      4      0 
 20250825    20:57:02       2    425      4      0 
 20250825    20:57:02       3    425      4      0 
 20250825    20:57:07       0      4      2      0 
 20250825    20:57:07       1    425      4      0 
 20250825    20:57:07       2    425      4      0 
 20250825    20:57:07       3    425      4      0 
 20250825    20:57:12       0      4      2      0 
 20250825    20:57:12       1    425      4      0 
 20250825    20:57:12       2    425      4      0 
 20250825    20:57:12       3    425      4      0 
 20250825    20:57:17       0      4      2      0 
 20250825    20:57:17       1    425      4      0 
 20250825    20:57:17       2    425      4      0 
 20250825    20:57:17       3    425      4      0 
 20250825    20:57:22       0      4      2      0 
 20250825    20:57:22       1    425      4      0 
 20250825    20:57:22       2    425      4      0 
 20250825    20:57:22       3    425      4      0 
 20250825    20:57:27       0      4      2      0 
