#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    19:47:40       0      0      1      0 
 20250823    19:47:40       1      0      1      0 
 20250823    19:47:40       2      0      1      0 
 20250823    19:47:40       3      0      1      0 
 20250823    19:47:45       0      0      1      0 
 20250823    19:47:45       1      0      1      0 
 20250823    19:47:45       2      0      1      0 
 20250823    19:47:45       3      0      1      0 
 20250823    19:47:50       0      4      2      0 
 20250823    19:47:50       1      4      2      0 
 20250823    19:47:50       2      4      2      0 
 20250823    19:47:50       3      4      2      0 
 20250823    19:47:55       0      4      2      0 
 20250823    19:47:55       1      4      2      0 
 20250823    19:47:55       2      4      2      0 
 20250823    19:47:55       3      4      2      0 
 20250823    19:48:00       0      4      2      0 
 20250823    19:48:00       1      4      2      0 
 20250823    19:48:00       2      4      2      0 
 20250823    19:48:00       3      4      2      0 
 20250823    19:48:05       0      4      2      0 
 20250823    19:48:05       1    425      4      0 
 20250823    19:48:05       2    425      4      0 
 20250823    19:48:05       3    425      4      0 
 20250823    19:48:10       0      4      2      0 
 20250823    19:48:10       1    425      4      0 
 20250823    19:48:10       2    425      4      0 
 20250823    19:48:10       3    425      4      0 
 20250823    19:48:15       0      4      2      0 
 20250823    19:48:15       1    425      4      0 
 20250823    19:48:15       2    425      4      0 
 20250823    19:48:15       3    425      4      0 
 20250823    19:48:20       0      4      2      0 
 20250823    19:48:20       1    425      4      0 
 20250823    19:48:20       2    425      4      0 
 20250823    19:48:20       3    425      4      0 
 20250823    19:48:25       0      4      2      0 
 20250823    19:48:25       1    425      4      0 
 20250823    19:48:25       2    425      4      0 
 20250823    19:48:25       3    425      4      0 
 20250823    19:48:30       0      4      2      0 
 20250823    19:48:30       1    425      4      0 
 20250823    19:48:30       2    425      4      0 
 20250823    19:48:30       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    19:48:35       0      4      2      0 
 20250823    19:48:35       1    425      4      0 
 20250823    19:48:35       2    425      4      0 
 20250823    19:48:35       3    425      4      0 
 20250823    19:48:40       0      4      2      0 
 20250823    19:48:40       1    425      4      0 
 20250823    19:48:40       2    425      4      0 
 20250823    19:48:40       3    425      4      0 
 20250823    19:48:45       0      4      2      0 
 20250823    19:48:45       1    425      4      0 
 20250823    19:48:45       2    425      4      0 
 20250823    19:48:45       3    425      4      0 
 20250823    19:48:50       0      4      2      0 
 20250823    19:48:50       1    425      4      0 
 20250823    19:48:50       2    425      4      0 
 20250823    19:48:50       3    425      4      0 
 20250823    19:48:55       0      4      2      0 
 20250823    19:48:55       1    425      4      0 
 20250823    19:48:55       2    425      4      0 
 20250823    19:48:55       3    425      4      0 
 20250823    19:49:00       0      4      2      0 
 20250823    19:49:00       1    425      4      0 
 20250823    19:49:00       2    425      4      0 
 20250823    19:49:00       3    425      4      0 
 20250823    19:49:05       0      4      2      0 
 20250823    19:49:05       1    425      4      0 
 20250823    19:49:05       2    425      4      0 
 20250823    19:49:05       3    425      4      0 
 20250823    19:49:10       0      4      2      0 
 20250823    19:49:10       1    425      4      0 
 20250823    19:49:10       2    425      4      0 
 20250823    19:49:10       3    425      4      0 
 20250823    19:49:15       0      4      2      0 
 20250823    19:49:15       1    425      4      0 
 20250823    19:49:15       2    425      4      0 
 20250823    19:49:15       3    425      4      0 
 20250823    19:49:20       0      4      2      0 
 20250823    19:49:20       1    425      4      0 
 20250823    19:49:20       2    425      4      0 
 20250823    19:49:20       3    425      4      0 
 20250823    19:49:25       0      4      2      0 
 20250823    19:49:25       1    425      4      0 
 20250823    19:49:25       2    425      4      0 
 20250823    19:49:25       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    19:49:30       0      4      2      0 
 20250823    19:49:30       1    425      4      0 
 20250823    19:49:30       2    425      4      0 
 20250823    19:49:30       3    425      4      0 
 20250823    19:49:35       0      4      2      0 
 20250823    19:49:35       1    425      4      0 
 20250823    19:49:35       2    425      4      0 
 20250823    19:49:35       3    425      4      0 
 20250823    19:49:40       0      4      2      0 
 20250823    19:49:40       1    425      4      0 
 20250823    19:49:40       2    425      4      0 
 20250823    19:49:40       3    425      4      0 
 20250823    19:49:45       0      4      2      0 
 20250823    19:49:45       1    425      4      0 
 20250823    19:49:45       2    425      4      0 
 20250823    19:49:45       3    425      4      0 
 20250823    19:49:50       0      4      2      0 
 20250823    19:49:50       1    425      4      0 
 20250823    19:49:50       2    425      4      0 
 20250823    19:49:50       3    425      4      0 
 20250823    19:49:55       0      4      2      0 
 20250823    19:49:55       1    425      4      0 
 20250823    19:49:55       2    425      4      0 
 20250823    19:49:55       3    425      4      0 
 20250823    19:50:00       0      4      2      0 
 20250823    19:50:00       1    425      4      0 
 20250823    19:50:00       2    425      4      0 
 20250823    19:50:00       3    425      4      0 
 20250823    19:50:05       0      4      2      0 
 20250823    19:50:05       1    425      4      0 
 20250823    19:50:05       2    425      4      0 
 20250823    19:50:05       3    425      4      0 
 20250823    19:50:10       0      4      2      0 
 20250823    19:50:10       1    425      4      0 
 20250823    19:50:10       2    425      4      0 
 20250823    19:50:10       3    425      4      0 
 20250823    19:50:15       0      4      2      0 
 20250823    19:50:15       1    425      4      0 
 20250823    19:50:15       2    425      4      0 
 20250823    19:50:15       3    425      4      0 
 20250823    19:50:20       0      4      2      0 
 20250823    19:50:20       1    425      4      0 
 20250823    19:50:20       2    425      4      0 
 20250823    19:50:20       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    19:50:25       0      4      2      0 
 20250823    19:50:25       1    425      4      0 
 20250823    19:50:25       2    425      4      0 
 20250823    19:50:25       3    425      4      0 
 20250823    19:50:30       0      4      2      0 
 20250823    19:50:30       1    425      4      0 
 20250823    19:50:30       2    425      4      0 
 20250823    19:50:30       3    425      4      0 
 20250823    19:50:35       0      4      2      0 
 20250823    19:50:35       1    425      4      0 
 20250823    19:50:35       2    425      4      0 
 20250823    19:50:35       3    425      4      0 
 20250823    19:50:40       0      4      2      0 
 20250823    19:50:40       1    425      4      0 
 20250823    19:50:40       2    425      4      0 
 20250823    19:50:40       3    425      4      0 
 20250823    19:50:45       0      4      2      0 
 20250823    19:50:45       1    425      4      0 
 20250823    19:50:45       2    425      4      0 
 20250823    19:50:45       3    425      4      0 
 20250823    19:50:50       0      4      2      0 
 20250823    19:50:50       1    425      4      0 
 20250823    19:50:50       2    425      4      0 
 20250823    19:50:50       3    425      4      0 
 20250823    19:50:55       0      4      2      0 
 20250823    19:50:55       1    425      4      0 
 20250823    19:50:55       2    425      4      0 
 20250823    19:50:55       3    425      4      0 
 20250823    19:51:00       0      4      2      0 
 20250823    19:51:00       1    425      4      0 
 20250823    19:51:00       2    425      4      0 
 20250823    19:51:00       3    425      4      0 
 20250823    19:51:05       0      4      2      0 
 20250823    19:51:05       1    425      4      0 
 20250823    19:51:05       2    425      4      0 
 20250823    19:51:05       3    425      4      0 
 20250823    19:51:10       0      4      2      0 
 20250823    19:51:10       1    425      4      0 
 20250823    19:51:10       2    425      4      0 
 20250823    19:51:10       3    425      4      0 
