#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    23:58:19       0      0      1      0 
 20250823    23:58:19       1      0      1      0 
 20250823    23:58:19       2      0      1      0 
 20250823    23:58:19       3      0      1      0 
 20250823    23:58:24       0      0      1      0 
 20250823    23:58:24       1      0      1      0 
 20250823    23:58:24       2      0      1      0 
 20250823    23:58:24       3      0      1      0 
 20250823    23:58:29       0      0      1      0 
 20250823    23:58:29       1      0      1      0 
 20250823    23:58:29       2      0      1      0 
 20250823    23:58:29       3      0      1      0 
 20250823    23:58:34       0      4      2      0 
 20250823    23:58:34       1      4      2      0 
 20250823    23:58:34       2      4      2      0 
 20250823    23:58:34       3      4      2      0 
 20250823    23:58:39       0      4      2      0 
 20250823    23:58:39       1      4      2      0 
 20250823    23:58:39       2      4      2      0 
 20250823    23:58:39       3      4      2      0 
 20250823    23:58:44       0      4      2      0 
 20250823    23:58:44       1      4      2      0 
 20250823    23:58:44       2      4      2      0 
 20250823    23:58:44       3      4      2      0 
 20250823    23:58:49       0      4      2      0 
 20250823    23:58:49       1    425      4      0 
 20250823    23:58:49       2    425      4      0 
 20250823    23:58:49       3    425      4      0 
 20250823    23:58:54       0      4      2      0 
 20250823    23:58:54       1    425      4      0 
 20250823    23:58:54       2    425      4      0 
 20250823    23:58:54       3    425      4      0 
 20250823    23:59:00       0      4      2      0 
 20250823    23:59:00       1    425      4      0 
 20250823    23:59:00       2    425      4      0 
 20250823    23:59:00       3    425      4      0 
 20250823    23:59:05       0      4      2      0 
 20250823    23:59:05       1    425      4      0 
 20250823    23:59:05       2    425      4      0 
 20250823    23:59:05       3    425      4      0 
 20250823    23:59:10       0      4      2      0 
 20250823    23:59:10       1    425      4      0 
 20250823    23:59:10       2    425      4      0 
 20250823    23:59:10       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    23:59:15       0      4      2      0 
 20250823    23:59:15       1    425      4      0 
 20250823    23:59:15       2    425      4      0 
 20250823    23:59:15       3    425      4      0 
 20250823    23:59:20       0      4      2      0 
 20250823    23:59:20       1    425      4      0 
 20250823    23:59:20       2    425      4      0 
 20250823    23:59:20       3    425      4      0 
 20250823    23:59:25       0      4      2      0 
 20250823    23:59:25       1    425      4      0 
 20250823    23:59:25       2    425      4      0 
 20250823    23:59:25       3    425      4      0 
 20250823    23:59:30       0      4      2      0 
 20250823    23:59:30       1    425      4      0 
 20250823    23:59:30       2    425      4      0 
 20250823    23:59:30       3    425      4      0 
 20250823    23:59:35       0      4      2      0 
