#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250824    18:12:08       0      0      1      0 
 20250824    18:12:08       1      0      1      0 
 20250824    18:12:08       2      0      1      0 
 20250824    18:12:08       3      0      1      0 
 20250824    18:12:13       0      4      2      0 
 20250824    18:12:13       1      4      2      0 
 20250824    18:12:13       2      4      2      0 
 20250824    18:12:13       3      4      2      0 
 20250824    18:12:18       0      4      2      0 
 20250824    18:12:18       1      4      2      0 
 20250824    18:12:18       2      4      2      0 
 20250824    18:12:18       3      4      2      0 
 20250824    18:12:23       0      4      2      0 
 20250824    18:12:23       1    425      4      0 
 20250824    18:12:23       2    425      4      0 
 20250824    18:12:23       3    425      4      0 
 20250824    18:12:28       0      4      2      0 
 20250824    18:12:28       1    425      4      0 
 20250824    18:12:28       2    425      4      0 
 20250824    18:12:28       3    425      4      0 
 20250824    18:12:33       0      4      2      0 
 20250824    18:12:33       1    425      4      0 
 20250824    18:12:33       2    425      4      0 
 20250824    18:12:33       3    425      4      0 
 20250824    18:12:38       0      4      2      0 
 20250824    18:12:38       1    425      4      0 
 20250824    18:12:38       2    425      4      0 
 20250824    18:12:38       3    425      4      0 
 20250824    18:12:43       0      4      2      0 
 20250824    18:12:43       1    425      4      0 
 20250824    18:12:43       2    425      4      0 
 20250824    18:12:43       3    425      4      0 
 20250824    18:12:48       0      4      2      0 
 20250824    18:12:48       1    425      4      0 
 20250824    18:12:48       2    425      4      0 
 20250824    18:12:48       3    425      4      0 
 20250824    18:12:53       0      4      2      0 
 20250824    18:12:53       1    425      4      0 
 20250824    18:12:53       2    425      4      0 
 20250824    18:12:53       3    425      4      0 
 20250824    18:12:58       0      4      2      0 
 20250824    18:12:58       1    425      4      0 
 20250824    18:12:58       2    425      4      0 
 20250824    18:12:58       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250824    18:13:03       0      4      2      0 
 20250824    18:13:03       1    425      4      0 
 20250824    18:13:03       2    425      4      0 
 20250824    18:13:03       3    425      4      0 
 20250824    18:13:08       0      4      2      0 
 20250824    18:13:08       1    425      4      0 
 20250824    18:13:08       2    425      4      0 
 20250824    18:13:08       3    425      4      0 
 20250824    18:13:13       0      4      2      0 
 20250824    18:13:13       1    425      4      0 
 20250824    18:13:13       2    425      4      0 
 20250824    18:13:13       3    425      4      0 
 20250824    18:13:18       0      4      2      0 
 20250824    18:13:18       1    425      4      0 
 20250824    18:13:18       2    425      4      0 
 20250824    18:13:18       3    425      4      0 
 20250824    18:13:23       0      4      2      0 
 20250824    18:13:23       1    425      4      0 
 20250824    18:13:23       2    425      4      0 
 20250824    18:13:23       3    425      4      0 
 20250824    18:13:28       0      4      2      0 
 20250824    18:13:28       1    425      4      0 
 20250824    18:13:28       2    425      4      0 
 20250824    18:13:28       3    425      4      0 
 20250824    18:13:33       0      4      2      0 
 20250824    18:13:33       1    425      4      0 
 20250824    18:13:33       2    425      4      0 
 20250824    18:13:33       3    425      4      0 
 20250824    18:13:38       0      4      2      0 
 20250824    18:13:38       1    425      4      0 
 20250824    18:13:38       2    425      4      0 
 20250824    18:13:38       3    425      4      0 
 20250824    18:13:43       0      4      2      0 
 20250824    18:13:43       1    425      4      0 
 20250824    18:13:43       2    425      4      0 
 20250824    18:13:43       3    425      4      0 
 20250824    18:13:48       0      4      2      0 
 20250824    18:13:48       1    425      4      0 
 20250824    18:13:48       2    425      4      0 
 20250824    18:13:48       3    425      4      0 
 20250824    18:13:53       0      4      2      0 
 20250824    18:13:53       1    425      4      0 
 20250824    18:13:53       2    425      4      0 
 20250824    18:13:53       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250824    18:13:58       0      4      2      0 
 20250824    18:13:58       1    425      4      0 
 20250824    18:13:58       2    425      4      0 
 20250824    18:13:58       3    425      4      0 
 20250824    18:14:03       0      4      2      0 
 20250824    18:14:03       1    425      4      0 
 20250824    18:14:03       2    425      4      0 
 20250824    18:14:03       3    425      4      0 
 20250824    18:14:08       0      4      2      0 
 20250824    18:14:08       1    425      4      0 
 20250824    18:14:08       2    425      4      0 
 20250824    18:14:08       3    425      4      0 
 20250824    18:14:13       0      4      2      0 
 20250824    18:14:13       1    425      4      0 
 20250824    18:14:13       2    425      4      0 
 20250824    18:14:13       3    425      4      0 
 20250824    18:14:18       0      4      2      0 
 20250824    18:14:18       1    425      4      0 
 20250824    18:14:18       2    425      4      0 
 20250824    18:14:18       3    425      4      0 
 20250824    18:14:23       0      4      2      0 
 20250824    18:14:23       1    425      4      0 
 20250824    18:14:23       2    425      4      0 
 20250824    18:14:23       3    425      4      0 
 20250824    18:14:28       0      4      2      0 
 20250824    18:14:28       1    425      4      0 
 20250824    18:14:28       2    425      4      0 
 20250824    18:14:28       3    425      4      0 
 20250824    18:14:33       0      4      2      0 
 20250824    18:14:33       1    425      4      0 
 20250824    18:14:33       2    425      4      0 
 20250824    18:14:33       3    425      4      0 
 20250824    18:14:38       0      4      2      0 
 20250824    18:14:38       1    425      4      0 
 20250824    18:14:38       2    425      4      0 
 20250824    18:14:38       3    425      4      0 
 20250824    18:14:43       0      4      2      0 
 20250824    18:14:43       1    425      4      0 
 20250824    18:14:43       2    425      4      0 
 20250824    18:14:43       3    425      4      0 
 20250824    18:14:48       0      4      2      0 
 20250824    18:14:48       1    425      4      0 
 20250824    18:14:48       2    425      4      0 
 20250824    18:14:48       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250824    18:14:53       0      4      2      0 
 20250824    18:14:53       1    425      4      0 
 20250824    18:14:53       2    425      4      0 
 20250824    18:14:53       3    425      4      0 
 20250824    18:14:58       0      4      2      0 
 20250824    18:14:58       1    425      4      0 
 20250824    18:14:58       2    425      4      0 
 20250824    18:14:58       3    425      4      0 
 20250824    18:15:03       0      4      2      0 
 20250824    18:15:03       1    425      4      0 
 20250824    18:15:03       2    425      4      0 
 20250824    18:15:03       3    425      4      0 
 20250824    18:15:08       0      4      2      0 
 20250824    18:15:08       1    425      4      0 
 20250824    18:15:08       2    425      4      0 
 20250824    18:15:08       3    425      4      0 
 20250824    18:15:13       0      4      2      0 
 20250824    18:15:13       1    425      4      0 
 20250824    18:15:13       2    425      4      0 
 20250824    18:15:13       3    425      4      0 
 20250824    18:15:18       0      4      2      0 
 20250824    18:15:18       1    425      4      0 
 20250824    18:15:18       2    425      4      0 
 20250824    18:15:18       3    425      4      0 
 20250824    18:15:23       0      4      2      0 
 20250824    18:15:23       1    425      4      0 
 20250824    18:15:23       2    425      4      0 
 20250824    18:15:23       3    425      4      0 
 20250824    18:15:28       0      4      2      0 
 20250824    18:15:28       1    425      4      0 
 20250824    18:15:28       2    425      4      0 
 20250824    18:15:28       3    425      4      0 
 20250824    18:15:33       0      4      2      0 
 20250824    18:15:33       1    425      4      0 
 20250824    18:15:33       2    425      4      0 
 20250824    18:15:33       3    425      4      0 
 20250824    18:15:38       0      4      2      0 
 20250824    18:15:38       1    425      4      0 
 20250824    18:15:38       2    425      4      0 
 20250824    18:15:38       3    425      4      0 
 20250824    18:15:43       0      4      2      0 
 20250824    18:15:43       1    425      4      0 
 20250824    18:15:43       2    425      4      0 
 20250824    18:15:43       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250824    18:15:48       0      4      2      0 
 20250824    18:15:48       1    425      4      0 
 20250824    18:15:48       2    425      4      0 
 20250824    18:15:48       3    425      4      0 
 20250824    18:15:53       0      4      2      0 
 20250824    18:15:53       1    425      4      0 
 20250824    18:15:53       2    425      4      0 
 20250824    18:15:53       3    425      4      0 
 20250824    18:15:58       0      4      2      0 
 20250824    18:15:58       1    425      4      0 
 20250824    18:15:58       2    425      4      0 
 20250824    18:15:58       3    425      4      0 
 20250824    18:16:03       0      4      2      0 
 20250824    18:16:03       1    425      4      0 
 20250824    18:16:03       2    425      4      0 
 20250824    18:16:03       3    425      4      0 
 20250824    18:16:08       0      4      2      0 
 20250824    18:16:08       1    425      4      0 
 20250824    18:16:08       2    425      4      0 
 20250824    18:16:08       3    425      4      0 
 20250824    18:16:13       0      4      2      0 
 20250824    18:16:13       1    425      4      0 
 20250824    18:16:13       2    425      4      0 
 20250824    18:16:13       3    425      4      0 
 20250824    18:16:18       0      4      2      0 
 20250824    18:16:18       1    425      4      0 
 20250824    18:16:18       2    425      4      0 
 20250824    18:16:18       3    425      4      0 
 20250824    18:16:23       0      4      2      0 
 20250824    18:16:23       1    425      4      0 
 20250824    18:16:23       2    425      4      0 
 20250824    18:16:23       3    425      4      0 
 20250824    18:16:28       0      4      2      0 
 20250824    18:16:28       1    425      4      0 
 20250824    18:16:28       2    425      4      0 
 20250824    18:16:28       3    425      4      0 
 20250824    18:16:33       0      4      2      0 
 20250824    18:16:33       1    425      4      0 
 20250824    18:16:33       2    425      4      0 
 20250824    18:16:33       3    425      4      0 
 20250824    18:16:38       0      4      2      0 
 20250824    18:16:38       1    425      4      0 
 20250824    18:16:38       2    425      4      0 
 20250824    18:16:38       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250824    18:16:43       0      4      2      0 
 20250824    18:16:43       1    425      4      0 
 20250824    18:16:43       2    425      4      0 
 20250824    18:16:43       3    425      4      0 
 20250824    18:16:48       0      4      2      0 
 20250824    18:16:48       1    425      4      0 
 20250824    18:16:48       2    425      4      0 
 20250824    18:16:48       3    425      4      0 
 20250824    18:16:53       0      4      2      0 
 20250824    18:16:53       1    425      4      0 
 20250824    18:16:53       2    425      4      0 
 20250824    18:16:53       3    425      4      0 
 20250824    18:16:58       0      4      2      0 
 20250824    18:16:58       1    425      4      0 
 20250824    18:16:58       2    425      4      0 
 20250824    18:16:58       3    425      4      0 
 20250824    18:17:03       0      4      2      0 
 20250824    18:17:03       1    425      4      0 
 20250824    18:17:03       2    425      4      0 
 20250824    18:17:03       3    425      4      0 
 20250824    18:17:08       0      4      2      0 
 20250824    18:17:08       1    425      4      0 
 20250824    18:17:08       2    425      4      0 
 20250824    18:17:08       3    425      4      0 
 20250824    18:17:13       0      4      2      0 
 20250824    18:17:13       1    425      4      0 
 20250824    18:17:13       2    425      4      0 
 20250824    18:17:13       3    425      4      0 
