#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    13:50:40       0      0      1      0 
 20250823    13:50:40       1      0      1      0 
 20250823    13:50:40       2      0      1      0 
 20250823    13:50:40       3      0      1      0 
 20250823    13:50:45       0      0      1      0 
 20250823    13:50:45       1      0      1      0 
 20250823    13:50:45       2      0      1      0 
 20250823    13:50:45       3      0      1      0 
 20250823    13:50:50       0      0      1      0 
 20250823    13:50:50       1      0      1      0 
 20250823    13:50:50       2      0      1      0 
 20250823    13:50:50       3      0      1      0 
 20250823    13:50:55       0      4      2      0 
 20250823    13:50:55       1      4      2      0 
 20250823    13:50:55       2      4      2      0 
 20250823    13:50:55       3      4      2      0 
 20250823    13:51:00       0      4      2      0 
 20250823    13:51:00       1      4      2      0 
 20250823    13:51:00       2      4      2      0 
 20250823    13:51:00       3      4      2      0 
 20250823    13:51:05       0      4      2      0 
 20250823    13:51:05       1      4      2      0 
 20250823    13:51:05       2      4      2      0 
 20250823    13:51:05       3      4      2      0 
 20250823    13:51:10       0      4      2      0 
 20250823    13:51:10       1      4      2      0 
 20250823    13:51:10       2      4      2      0 
 20250823    13:51:10       3      4      2      0 
 20250823    13:51:15       0      4      2      0 
 20250823    13:51:15       1    425      4      0 
 20250823    13:51:15       2    425      4      0 
 20250823    13:51:15       3    425      4      0 
 20250823    13:51:20       0      4      2      0 
 20250823    13:51:20       1    425      4      0 
 20250823    13:51:20       2    425      4      0 
 20250823    13:51:20       3    425      4      0 
 20250823    13:51:25       0      4      2      0 
 20250823    13:51:25       1    425      4      0 
 20250823    13:51:25       2    425      4      0 
 20250823    13:51:25       3    425      4      0 
 20250823    13:51:30       0      4      2      0 
 20250823    13:51:30       1    425      4      0 
 20250823    13:51:30       2    425      4      0 
 20250823    13:51:30       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    13:51:35       0      4      2      0 
 20250823    13:51:35       1    425      4      0 
 20250823    13:51:35       2    425      4      0 
 20250823    13:51:35       3    425      4      0 
 20250823    13:51:40       0      4      2      0 
 20250823    13:51:40       1    425      4      0 
 20250823    13:51:40       2    425      4      0 
 20250823    13:51:40       3    425      4      0 
 20250823    13:51:45       0      4      2      0 
 20250823    13:51:45       1    425      4      0 
 20250823    13:51:45       2    425      4      0 
 20250823    13:51:45       3    425      4      0 
 20250823    13:51:50       0      4      2      0 
 20250823    13:51:50       1    425      4      0 
 20250823    13:51:50       2    425      4      0 
 20250823    13:51:50       3    425      4      0 
 20250823    13:51:55       0      4      2      0 
 20250823    13:51:55       1    425      4      0 
 20250823    13:51:55       2    425      4      0 
 20250823    13:51:55       3    425      4      0 
 20250823    13:52:00       0      4      2      0 
 20250823    13:52:00       1    425      4      0 
 20250823    13:52:00       2    425      4      0 
 20250823    13:52:00       3    425      4      0 
 20250823    13:52:05       0      4      2      0 
 20250823    13:52:05       1    425      4      0 
 20250823    13:52:05       2    425      4      0 
 20250823    13:52:05       3    425      4      0 
 20250823    13:52:10       0      4      2      0 
 20250823    13:52:10       1    425      4      0 
 20250823    13:52:10       2    425      4      0 
 20250823    13:52:10       3    425      4      0 
 20250823    13:52:15       0      4      2      0 
 20250823    13:52:15       1    425      4      0 
 20250823    13:52:15       2    425      4      0 
 20250823    13:52:15       3    425      4      0 
 20250823    13:52:20       0      4      2      0 
 20250823    13:52:20       1    425      4      0 
 20250823    13:52:20       2    425      4      0 
 20250823    13:52:20       3    425      4      0 
 20250823    13:52:25       0      4      2      0 
 20250823    13:52:25       1    425      4      0 
 20250823    13:52:25       2    425      4      0 
 20250823    13:52:25       3    425      4      0 
#Date        Time         gpu     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx     MB     MB     MB 
 20250823    13:52:30       0      4      2      0 
 20250823    13:52:30       1    425      4      0 
 20250823    13:52:30       2    425      4      0 
 20250823    13:52:30       3    425      4      0 
 20250823    13:52:35       0      4      2      0 
 20250823    13:52:35       1    425      4      0 
 20250823    13:52:35       2    425      4      0 
